Zeit;Kanal A
(ms);(mV)

15,57999992;0,37278540
15,58499992;0,55979330
15,58999992;0,93319390
15,59499992;0,93319390
15,59999992;0,93319390
15,60499992;0,93319390
15,60999992;0,55979330
15,61499992;0,93319390
15,61999992;1,11958700
15,62499992;2,42679600
15,62999992;0,37278540
15,63499992;0,74618600
15,63999992;-0,74618600
15,64499992;0,55979330
15,64999992;0,18639270
15,65499992;0,18639270
15,65999992;0,00000000
15,66499992;-0,18639270
15,66999992;-1,11958700
15,67499992;-0,37278540
15,67999992;-0,37278540
15,68499992;-1,30659400
15,68999992;-0,55979330
15,69499992;-0,93319390
15,69999992;-1,11958700
15,70499992;-1,11958700
15,70999992;-1,11958700
15,71499992;-1,11958700
15,71999992;-1,11958700
15,72499992;-1,30659400
15,72999992;-2,05339600
15,73499992;-1,30659400
15,73999992;-2,05339600
15,74499992;-1,86638800
15,74999992;-2,80019700
15,75499992;-2,80019700
15,75999992;-2,61318900
15,76499992;-2,98658900
15,76999992;-2,98658900
15,77499992;-3,54699800
15,77999992;-3,17359700
15,78499992;-3,17359700
15,78999992;-3,73339100
15,79499992;-3,17359700
15,79999992;-3,54699800
15,80499992;-3,73339100
15,80999992;-3,54699800
15,81499992;-2,98658900
15,81999992;-2,80019700
15,82499992;-2,98658900
15,82999992;-2,42679600
15,83499992;-2,05339600
15,83999992;-2,80019700
15,84499992;-1,67999500
15,84999992;-1,86638800
15,85499992;-2,05339600
15,85999992;-1,67999500
15,86499992;-2,05339600
15,86999992;-1,49298700
15,87499992;-1,11958700
15,87999992;-1,30659400
15,88499992;-1,30659400
15,88999992;-1,67999500
15,89499991;-1,30659400
15,89999991;-1,11958700
15,90499991;-1,49298700
15,90999991;-0,74618600
15,91499991;-2,05339600
15,91999991;-1,49298700
15,92499991;-1,67999500
15,92999991;-1,67999500
15,93499991;-1,67999500
15,93999991;-1,67999500
15,94499991;-1,30659400
15,94999991;-1,67999500
15,95499991;-1,30659400
15,95999991;-1,11958700
15,96499991;-1,49298700
15,96999991;-1,49298700
15,97499991;-0,74618600
15,97999991;-0,74618600
15,98499991;-0,93319390
15,98999991;-1,11958700
15,99499991;-0,93319390
15,99999991;-0,55979330
16,00499991;-0,74618600
16,00999991;-0,37278540
16,01499991;-0,18639270
16,01999991;0,00000000
16,02499991;-0,18639270
16,02999991;0,55979330
16,03499991;0,18639270
16,03999991;0,93319390
16,04499991;0,00000000
16,04999991;0,55979330
16,05499991;0,93319390
16,05999991;0,74618600
16,06499991;1,11958700
16,06999991;1,30659400
16,07499991;1,11958700
16,07999991;1,30659400
16,08499991;1,11958700
16,08999991;1,49298700
16,09499991;1,11958700
16,09999991;1,86638800
16,10499991;1,30659400
16,10999991;1,86638800
16,11499991;1,86638800
16,11999991;1,86638800
16,12499991;2,05339600
16,12999991;0,93319390
16,13499991;2,05339600
16,13999991;2,42679600
16,14499991;2,61318900
16,14999991;2,42679600
16,15499991;2,61318900
16,15999991;2,80019700
16,16499991;2,98658900
16,16999991;2,98658900
16,17499991;3,35999000
16,17999991;3,35999000
16,18499991;3,73339100
16,18999991;3,54699800
16,19499991;3,54699800
16,19999991;2,98658900
16,20499991;3,17359700
16,20999991;3,54699800
16,21499991;3,17359700
16,21999991;3,35999000
16,22499991;1,86638800
16,22999991;3,35999000
16,23499991;2,80019700
16,23999991;2,98658900
16,24499991;2,98658900
16,24999991;2,42679600
16,25499991;2,42679600
16,25999991;2,61318900
16,26499991;2,42679600
16,26999991;2,05339600
16,27499991;1,86638800
16,27999991;2,23978800
16,28499991;2,23978800
16,28999990;1,86638800
16,29499990;2,23978800
16,29999990;1,86638800
16,30499990;1,86638800
16,30999990;1,49298700
16,31499990;1,67999500
16,31999990;2,23978800
16,32499990;1,86638800
16,32999990;1,86638800
16,33499990;1,67999500
16,33999990;1,67999500
16,34499990;1,49298700
16,34999990;1,11958700
16,35499990;1,11958700
16,35999990;1,30659400
16,36499990;1,67999500
16,36999990;1,11958700
16,37499990;1,11958700
16,37999990;1,67999500
16,38499990;1,86638800
16,38999990;1,49298700
16,39499990;1,49298700
16,39999990;1,49298700
16,40499990;1,49298700
16,40999990;0,93319390
16,41499990;1,49298700
16,41999990;1,30659400
16,42499990;1,11958700
16,42999990;1,30659400
16,43499990;1,11958700
16,43999990;1,86638800
16,44499990;1,67999500
16,44999990;1,49298700
16,45499990;0,37278540
16,45999990;0,93319390
16,46499990;1,11958700
16,46999990;0,93319390
16,47499990;1,30659400
16,47999990;1,30659400
16,48499990;1,11958700
16,48999990;2,05339600
16,49499990;0,93319390
16,49999990;1,11958700
16,50499990;0,93319390
16,50999990;1,11958700
16,51499990;0,55979330
16,51999990;0,93319390
16,52499990;0,93319390
16,52999990;0,55979330
16,53499990;1,67999500
16,53999990;0,18639270
16,54499990;0,18639270
16,54999990;0,18639270
16,55499990;0,18639270
16,55999990;-0,37278540
16,56499990;0,18639270
16,56999990;0,00000000
16,57499990;-0,37278540
16,57999990;-0,18639270
16,58499990;0,00000000
16,58999990;0,00000000
16,59499990;0,18639270
16,59999990;-0,55979330
16,60499990;-0,55979330
16,60999990;0,00000000
16,61499990;-0,37278540
16,61999990;-0,37278540
16,62499990;-0,93319390
16,62999990;0,00000000
16,63499990;-0,37278540
16,63999990;-0,37278540
16,64499990;-0,18639270
16,64999990;-0,18639270
16,65499990;0,18639270
16,65999990;0,18639270
16,66499990;-0,18639270
16,66999990;-0,18639270
16,67499990;0,00000000
16,67999990;0,00000000
16,68499990;0,00000000
16,68999989;0,00000000
16,69499989;-0,37278540
16,69999989;0,00000000
16,70499989;0,00000000
16,70999989;0,18639270
16,71499989;0,00000000
16,71999989;-0,37278540
16,72499989;-0,18639270
16,72999989;-0,93319390
16,73499989;-0,74618600
16,73999989;-0,74618600
16,74499989;-0,55979330
16,74999989;-0,74618600
16,75499989;-1,11958700
16,75999989;-1,11958700
16,76499989;-1,11958700
16,76999989;-1,49298700
16,77499989;-1,49298700
16,77999989;-1,49298700
16,78499989;-1,30659400
16,78999989;-1,86638800
16,79499989;-1,67999500
16,79999989;-1,49298700
16,80499989;-1,67999500
16,80999989;-2,23978800
16,81499989;-2,61318900
16,81999989;-1,49298700
16,82499989;-1,86638800
16,82999989;-1,67999500
16,83499989;-1,11958700
16,83999989;-0,74618600
16,84499989;-0,93319390
16,84999989;-0,37278540
16,85499989;-0,93319390
16,85999989;-0,18639270
16,86499989;0,00000000
16,86999989;-0,37278540
16,87499989;0,37278540
16,87999989;0,55979330
16,88499989;0,00000000
16,88999989;0,18639270
16,89499989;1,30659400
16,89999989;0,18639270
16,90499989;0,00000000
16,90999989;-0,37278540
16,91499989;-0,37278540
16,91999989;-0,18639270
16,92499989;-0,18639270
16,92999989;0,00000000
16,93499989;-0,37278540
16,93999989;-0,55979330
16,94499989;0,00000000
16,94999989;0,18639270
16,95499989;-0,55979330
16,95999989;0,00000000
16,96499989;-0,55979330
16,96999989;0,18639270
16,97499989;0,18639270
16,97999989;0,18639270
16,98499989;0,00000000
16,98999989;0,00000000
16,99499989;0,00000000
16,99999989;0,00000000
17,00499989;0,00000000
17,00999989;0,37278540
17,01499989;0,55979330
17,01999989;0,37278540
17,02499989;0,55979330
17,02999989;0,55979330
17,03499989;0,55979330
17,03999989;-0,18639270
17,04499989;0,93319390
17,04999989;0,18639270
17,05499989;1,49298700
17,05999989;0,55979330
17,06499989;0,55979330
17,06999989;0,18639270
17,07499989;0,93319390
17,07999989;0,00000000
17,08499988;0,18639270
17,08999988;0,00000000
17,09499988;0,37278540
17,09999988;0,37278540
17,10499988;0,00000000
17,10999988;0,37278540
17,11499988;0,18639270
17,11999988;0,55979330
17,12499988;0,93319390
17,12999988;0,74618600
17,13499988;1,11958700
17,13999988;0,55979330
17,14499988;0,55979330
17,14999988;0,93319390
17,15499988;0,55979330
17,15999988;0,74618600
17,16499988;0,55979330
17,16999988;0,55979330
17,17499988;0,93319390
17,17999988;2,05339600
17,18499988;0,55979330
17,18999988;0,37278540
17,19499988;0,93319390
17,19999988;0,55979330
17,20499988;0,37278540
17,20999988;0,55979330
17,21499988;0,37278540
17,21999988;0,93319390
17,22499988;0,37278540
17,22999988;1,86638800
17,23499988;0,18639270
17,23999988;0,00000000
17,24499988;-0,18639270
17,24999988;0,74618600
17,25499988;0,55979330
17,25999988;0,18639270
17,26499988;0,37278540
17,26999988;0,18639270
17,27499988;-0,37278540
17,27999988;-0,55979330
17,28499988;0,00000000
17,28999988;-0,55979330
17,29499988;-0,74618600
17,29999988;-0,37278540
17,30499988;-0,74618600
17,30999988;-0,93319390
17,31499988;-1,11958700
17,31999988;-1,30659400
17,32499988;-1,67999500
17,32999988;-1,11958700
17,33499988;-2,05339600
17,33999988;-1,67999500
17,34499988;-1,49298700
17,34999988;-1,49298700
17,35499988;-1,30659400
17,35999988;-1,67999500
17,36499988;-2,61318900
17,36999988;-2,98658900
17,37499988;-2,80019700
17,37999988;-2,98658900
17,38499988;-3,35999000
17,38999988;-3,17359700
17,39499988;-3,54699800
17,39999988;-3,54699800
17,40499988;-3,92039800
17,40999988;-3,17359700
17,41499988;-3,92039800
17,41999988;-3,17359700
17,42499988;-3,54699800
17,42999988;-2,98658900
17,43499988;-3,73339100
17,43999988;-2,05339600
17,44499988;-2,80019700
17,44999988;-2,42679600
17,45499988;-2,05339600
17,45999988;-2,61318900
17,46499988;-1,67999500
17,46999988;-1,30659400
17,47499988;-1,67999500
17,47999987;-1,67999500
17,48499987;-1,86638800
17,48999987;-1,30659400
17,49499987;-1,11958700
17,49999987;-1,49298700
17,50499987;-1,67999500
17,50999987;-1,30659400
17,51499987;-1,11958700
17,51999987;-1,67999500
17,52499987;-1,67999500
17,52999987;-2,23978800
17,53499987;-1,67999500
17,53999987;-1,67999500
17,54499987;-2,61318900
17,54999987;-2,05339600
17,55499987;-1,67999500
17,55999987;-1,67999500
17,56499987;-1,67999500
17,56999987;-1,67999500
17,57499987;-1,11958700
17,57999987;-1,67999500
17,58499987;-1,30659400
17,58999987;-1,30659400
17,59499987;-1,11958700
17,59999987;-0,74618600
17,60499987;-0,93319390
17,60999987;-0,74618600
17,61499987;-0,37278540
17,61999987;-0,93319390
17,62499987;0,00000000
17,62999987;-0,37278540
17,63499987;-0,18639270
17,63999987;-0,18639270
17,64499987;0,00000000
17,64999987;0,18639270
17,65499987;-0,37278540
17,65999987;0,18639270
17,66499987;0,18639270
17,66999987;0,00000000
17,67499987;0,74618600
17,67999987;0,93319390
17,68499987;1,11958700
17,68999987;0,74618600
17,69499987;0,93319390
17,69999987;1,11958700
17,70499987;1,11958700
17,70999987;1,49298700
17,71499987;1,49298700
17,71999987;1,86638800
17,72499987;1,67999500
17,72999987;1,49298700
17,73499987;1,49298700
17,73999987;1,86638800
17,74499987;2,23978800
17,74999987;2,61318900
17,75499987;2,05339600
17,75999987;2,80019700
17,76499987;2,61318900
17,76999987;2,42679600
17,77499987;2,42679600
17,77999987;2,98658900
17,78499987;2,80019700
17,78999987;2,42679600
17,79499987;2,80019700
17,79999987;2,98658900
17,80499987;2,80019700
17,80999987;3,35999000
17,81499987;3,17359700
17,81999987;3,35999000
17,82499987;2,98658900
17,82999987;3,17359700
17,83499987;2,98658900
17,83999987;3,35999000
17,84499987;3,54699800
17,84999987;2,80019700
17,85499987;2,80019700
17,85999987;2,80019700
17,86499987;2,23978800
17,86999987;2,05339600
17,87499986;2,42679600
17,87999986;2,23978800
17,88499986;2,23978800
17,88999986;1,86638800
17,89499986;1,49298700
17,89999986;1,86638800
17,90499986;2,05339600
17,90999986;1,30659400
17,91499986;1,86638800
17,91999986;1,86638800
17,92499986;1,49298700
17,92999986;1,49298700
17,93499986;1,49298700
17,93999986;1,67999500
17,94499986;1,86638800
17,94999986;1,49298700
17,95499986;1,49298700
17,95999986;2,05339600
17,96499986;1,11958700
